Id,SalePrice,,,,,
 1 ," $128,561 ",,,,,
 2 ," $154,628 ",,,,,
 3 ," $176,216 ",,,,,
 4 ," $181,695 ",,,,,
 5 ," $210,684 ",,,,,
 6 ," $183,098 ",,,,,
 7 ," $163,937 ",,,,,
 8 ," $175,264 ",,,,,
 9 ," $181,870 ",,,,,
 10 ," $121,765 ",,,,,
 11 ," $192,621 ",,,,,
 12 ," $94,709 ",,,,,
 13 ," $106,118 ",,,,,
 14 ," $152,079 ",,,,,
 15 ," $145,202 ",,,,,
 16 ," $384,135 ",,,,,
 17 ," $261,724 ",,,,,
 18 ," $301,527 ",,,,,
 19 ," $286,938 ",,,,,
 20 ," $447,523 ",,,,,
 21 ," $308,538 ",,,,,
 22 ," $211,914 ",,,,,
 23 ," $176,577 ",,,,,
 24 ," $167,994 ",,,,,
 25 ," $169,473 ",,,,,
 26 ," $192,016 ",,,,,
 27 ," $328,421 ",,,,,
 28 ," $254,458 ",,,,,
 29 ," $210,662 ",,,,,
 30 ," $194,592 ",,,,,
 31 ," $192,558 ",,,,,
 32 ," $105,107 ",,,,,
 33 ," $181,901 ",,,,,
 34 ," $292,306 ",,,,,
 35 ," $285,698 ",,,,,
 36 ," $228,537 ",,,,,
 37 ," $191,053 ",,,,,
 38 ," $153,381 ",,,,,
 39 ," $152,452 ",,,,,
 40 ," $157,166 ",,,,,
 41 ," $175,381 ",,,,,
 42 ," $163,850 ",,,,,
 43 ," $295,003 ",,,,,
 44 ," $239,277 ",,,,,
 45 ," $220,948 ",,,,,
 46 ," $188,105 ",,,,,
 47 ," $230,502 ",,,,,
 48 ," $203,458 ",,,,,
 49 ," $160,071 ",,,,,
 50 ," $149,135 ",,,,,
 51 ," $149,175 ",,,,,
 52 ," $160,364 ",,,,,
 53 ," $154,695 ",,,,,
 54 ," $158,728 ",,,,,
 55 ," $173,644 ",,,,,
 56 ," $156,247 ",,,,,
 57 ," $156,678 ",,,,,
 58 ," $130,689 ",,,,,
 59 ," $226,030 ",,,,,
 60 ," $139,760 ",,,,,
 61 ," $144,073 ",,,,,
 62 ," $164,610 ",,,,,
 63 ," $110,863 ",,,,,
 64 ," $126,425 ",,,,,
 65 ," $130,275 ",,,,,
 66 ," $131,692 ",,,,,
 67 ," $97,517 ",,,,,
 68 ," $125,306 ",,,,,
 69 ," $142,486 ",,,,,
 70 ," $163,769 ",,,,,
 71 ," $122,440 ",,,,,
 72 ," $113,465 ",,,,,
 73 ," $148,632 ",,,,,
 74 ," $119,869 ",,,,,
 75 ," $156,323 ",,,,,
 76 ," $119,180 ",,,,,
 77 ," $76,208 ",,,,,
 78 ," $191,029 ",,,,,
 79 ," $268,808 ",,,,,
 80 ," $111,991 ",,,,,
 81 ," $144,864 ",,,,,
 82 ," $150,135 ",,,,,
 83 ," $215,418 ",,,,,
 84 ," $70,833 ",,,,,
 85 ," $108,657 ",,,,,
 86 ," $123,768 ",,,,,
 87 ," $130,066 ",,,,,
 88 ," $131,304 ",,,,,
 89 ," $117,817 ",,,,,
 90 ," $134,708 ",,,,,
 91 ," $122,997 ",,,,,
 92 ," $133,833 ",,,,,
 93 ," $147,892 ",,,,,
 94 ," $113,404 ",,,,,
 95 ," $167,519 ",,,,,
 96 ," $103,104 ",,,,,
 97 ," $124,617 ",,,,,
 98 ," $107,058 ",,,,,
 99 ," $120,070 ",,,,,
 100 ," $148,000 ",,,,,
 101 ," $152,488 ",,,,,
 102 ," $124,041 ",,,,,
 103 ," $123,103 ",,,,,
 104 ," $154,342 ",,,,,
 105 ," $145,918 ",,,,,
 106 ," $204,569 ",,,,,
 107 ," $78,193 ",,,,,
 108 ," $225,986 ",,,,,
 109 ," $141,709 ",,,,,
 110 ," $133,693 ",,,,,
 111 ," $133,370 ",,,,,
 112 ," $144,333 ",,,,,
 113 ," $233,726 ",,,,,
 114 ," $138,066 ",,,,,
 115 ," $213,069 ",,,,,
 116 ," $220,202 ",,,,,
 117 ," $202,265 ",,,,,
 118 ," $150,238 ",,,,,
 119 ," $142,777 ",,,,,
 120 ," $190,361 ",,,,,
 121 ," $135,454 ",,,,,
 122 ," $129,811 ",,,,,
 123 ," $325,612 ",,,,,
 124 ," $235,110 ",,,,,
